budget,embedder,metric,a,b,mean_a,mean_b,diff,ci_low,ci_high,p_bootstrap,n,mde,p_mcnemar,n_discordant,reject_holm
1000,strong,em,fixed_128,fixed_256,0.3812,0.3725,0.0088,-0.0213,0.04,0.5952,800,0.0433,0.6278,153,False
1000,strong,em,fixed_128,recursive_256,0.3812,0.3975,-0.0163,-0.0462,0.0138,0.3188,800,0.0439,0.3382,157,False
1000,strong,em,fixed_128,semantic,0.3812,0.3675,0.0138,-0.0138,0.0425,0.3592,800,0.0407,0.3895,135,False
1000,strong,em,fixed_256,recursive_256,0.3725,0.3975,-0.025,-0.055,0.0037,0.1036,800,0.042,0.113,144,False
1000,strong,em,fixed_256,semantic,0.3725,0.3675,0.005,-0.0238,0.035,0.7828,800,0.0414,0.8,140,False
1000,strong,em,recursive_256,semantic,0.3975,0.3675,0.03,0.0013,0.06,0.0446,800,0.0417,0.0532,142,False
1000,weak,em,fixed_128,fixed_256,0.3688,0.365,0.0037,-0.0262,0.0325,0.8316,800,0.0419,0.8672,143,False
1000,weak,em,fixed_128,recursive_256,0.3688,0.3775,-0.0088,-0.0375,0.02,0.582,800,0.0413,0.611,139,False
1000,weak,em,fixed_128,semantic,0.3688,0.3675,0.0013,-0.0275,0.03,0.96,800,0.0416,1.0,141,False
1000,weak,em,fixed_256,recursive_256,0.365,0.3775,-0.0125,-0.0413,0.015,0.4132,800,0.0399,0.43,130,False
1000,weak,em,fixed_256,semantic,0.365,0.3675,-0.0025,-0.0325,0.0275,0.902,800,0.0432,0.9354,152,False
1000,weak,em,recursive_256,semantic,0.3775,0.3675,0.01,-0.0175,0.0375,0.4974,800,0.0396,0.5363,128,False
