question_type,chunker,embedder,budget,mean,count
count,fixed_128,strong,1000,0.42857142857142855,28
count,fixed_128,strong,2500,,0
count,fixed_128,weak,1000,0.5,28
count,fixed_128,weak,2500,,0
count,fixed_256,strong,1000,0.5357142857142857,28
count,fixed_256,strong,2500,,0
count,fixed_256,weak,1000,0.42857142857142855,28
count,fixed_256,weak,2500,,0
count,recursive_256,strong,1000,0.42857142857142855,28
count,recursive_256,strong,2500,,0
count,recursive_256,weak,1000,0.5,28
count,recursive_256,weak,2500,,0
count,semantic,strong,1000,0.35714285714285715,28
count,semantic,strong,2500,,0
count,semantic,weak,1000,0.39285714285714285,28
count,semantic,weak,2500,,0
date,fixed_128,strong,1000,0.37012987012987014,154
date,fixed_128,strong,2500,,0
date,fixed_128,weak,1000,0.35714285714285715,154
date,fixed_128,weak,2500,,0
date,fixed_256,strong,1000,0.38961038961038963,154
date,fixed_256,strong,2500,,0
date,fixed_256,weak,1000,0.37662337662337664,154
date,fixed_256,weak,2500,,0
date,recursive_256,strong,1000,0.37012987012987014,154
date,recursive_256,strong,2500,,0
date,recursive_256,weak,1000,0.4155844155844156,154
date,recursive_256,weak,2500,,0
date,semantic,strong,1000,0.34415584415584416,154
date,semantic,strong,2500,,0
date,semantic,weak,1000,0.38961038961038963,154
date,semantic,weak,2500,,0
entity,fixed_128,strong,1000,0.27702702702702703,148
entity,fixed_128,strong,2500,,0
entity,fixed_128,weak,1000,0.2635135135135135,148
entity,fixed_128,weak,2500,,0
entity,fixed_256,strong,1000,0.25,148
entity,fixed_256,strong,2500,,0
entity,fixed_256,weak,1000,0.2972972972972973,148
entity,fixed_256,weak,2500,,0
entity,recursive_256,strong,1000,0.2905405405405405,148
entity,recursive_256,strong,2500,,0
entity,recursive_256,weak,1000,0.2635135135135135,148
entity,recursive_256,weak,2500,,0
entity,semantic,strong,1000,0.2972972972972973,148
entity,semantic,strong,2500,,0
entity,semantic,weak,1000,0.27702702702702703,148
entity,semantic,weak,2500,,0
other,fixed_128,strong,1000,0.32,75
other,fixed_128,strong,2500,,0
other,fixed_128,weak,1000,0.30666666666666664,75
other,fixed_128,weak,2500,,0
other,fixed_256,strong,1000,0.32,75
other,fixed_256,strong,2500,,0
other,fixed_256,weak,1000,0.3333333333333333,75
other,fixed_256,weak,2500,,0
other,recursive_256,strong,1000,0.32,75
other,recursive_256,strong,2500,,0
other,recursive_256,weak,1000,0.32,75
other,recursive_256,weak,2500,,0
other,semantic,strong,1000,0.3466666666666667,75
other,semantic,strong,2500,,0
other,semantic,weak,1000,0.37333333333333335,75
other,semantic,weak,2500,,0
person,fixed_128,strong,1000,0.5016722408026756,299
person,fixed_128,strong,2500,,0
person,fixed_128,weak,1000,0.4682274247491639,299
person,fixed_128,weak,2500,,0
person,fixed_256,strong,1000,0.47491638795986624,299
person,fixed_256,strong,2500,,0
person,fixed_256,weak,1000,0.44816053511705684,299
person,fixed_256,weak,2500,,0
person,recursive_256,strong,1000,0.5250836120401338,299
person,recursive_256,strong,2500,,0
person,recursive_256,weak,1000,0.4682274247491639,299
person,recursive_256,weak,2500,,0
person,semantic,strong,1000,0.47157190635451507,299
person,semantic,strong,2500,,0
person,semantic,weak,1000,0.451505016722408,299
person,semantic,weak,2500,,0
place,fixed_128,strong,1000,0.23333333333333334,90
place,fixed_128,strong,2500,,0
place,fixed_128,weak,1000,0.26666666666666666,90
place,fixed_128,weak,2500,,0
place,fixed_256,strong,1000,0.2222222222222222,90
place,fixed_256,strong,2500,,0
place,fixed_256,weak,1000,0.2111111111111111,90
place,fixed_256,weak,2500,,0
place,recursive_256,strong,1000,0.2777777777777778,90
place,recursive_256,strong,2500,,0
place,recursive_256,weak,1000,0.23333333333333334,90
place,recursive_256,weak,2500,,0
place,semantic,strong,1000,0.2222222222222222,90
place,semantic,strong,2500,,0
place,semantic,weak,1000,0.2111111111111111,90
place,semantic,weak,2500,,0
reason,fixed_128,strong,1000,0.0,6
reason,fixed_128,strong,2500,,0
reason,fixed_128,weak,1000,0.0,6
reason,fixed_128,weak,2500,,0
reason,fixed_256,strong,1000,0.0,6
reason,fixed_256,strong,2500,,0
reason,fixed_256,weak,1000,0.0,6
reason,fixed_256,weak,2500,,0
reason,recursive_256,strong,1000,0.0,6
reason,recursive_256,strong,2500,,0
reason,recursive_256,weak,1000,0.0,6
reason,recursive_256,weak,2500,,0
reason,semantic,strong,1000,0.0,6
reason,semantic,strong,2500,,0
reason,semantic,weak,1000,0.0,6
reason,semantic,weak,2500,,0
