question_type,chunker,embedder,budget,mean,count
count,fixed_128,strong,1000,0.42857142857142855,28
count,fixed_128,strong,2500,,0
count,fixed_128,weak,1000,0.5,28
count,fixed_128,weak,2500,,0
count,fixed_256,strong,1000,0.5357142857142857,28
count,fixed_256,strong,2500,,0
count,fixed_256,weak,1000,0.42857142857142855,28
count,fixed_256,weak,2500,,0
count,recursive_256,strong,1000,0.42857142857142855,28
count,recursive_256,strong,2500,,0
count,recursive_256,weak,1000,0.5,28
count,recursive_256,weak,2500,,0
count,semantic,strong,1000,0.35714285714285715,28
count,semantic,strong,2500,,0
count,semantic,weak,1000,0.39285714285714285,28
count,semantic,weak,2500,,0
date,fixed_128,strong,1000,0.42857142857142855,154
date,fixed_128,strong,2500,,0
date,fixed_128,weak,1000,0.4155844155844156,154
date,fixed_128,weak,2500,,0
date,fixed_256,strong,1000,0.44155844155844154,154
date,fixed_256,strong,2500,,0
date,fixed_256,weak,1000,0.43506493506493504,154
date,fixed_256,weak,2500,,0
date,recursive_256,strong,1000,0.44155844155844154,154
date,recursive_256,strong,2500,,0
date,recursive_256,weak,1000,0.474025974025974,154
date,recursive_256,weak,2500,,0
date,semantic,strong,1000,0.4155844155844156,154
date,semantic,strong,2500,,0
date,semantic,weak,1000,0.42857142857142855,154
date,semantic,weak,2500,,0
entity,fixed_128,strong,1000,0.36486486486486486,148
entity,fixed_128,strong,2500,,0
entity,fixed_128,weak,1000,0.34459459459459457,148
entity,fixed_128,weak,2500,,0
entity,fixed_256,strong,1000,0.3716216216216216,148
entity,fixed_256,strong,2500,,0
entity,fixed_256,weak,1000,0.3918918918918919,148
entity,fixed_256,weak,2500,,0
entity,recursive_256,strong,1000,0.3783783783783784,148
entity,recursive_256,strong,2500,,0
entity,recursive_256,weak,1000,0.35135135135135137,148
entity,recursive_256,weak,2500,,0
entity,semantic,strong,1000,0.36486486486486486,148
entity,semantic,strong,2500,,0
entity,semantic,weak,1000,0.3716216216216216,148
entity,semantic,weak,2500,,0
other,fixed_128,strong,1000,0.38666666666666666,75
other,fixed_128,strong,2500,,0
other,fixed_128,weak,1000,0.36,75
other,fixed_128,weak,2500,,0
other,fixed_256,strong,1000,0.41333333333333333,75
other,fixed_256,strong,2500,,0
other,fixed_256,weak,1000,0.38666666666666666,75
other,fixed_256,weak,2500,,0
other,recursive_256,strong,1000,0.4266666666666667,75
other,recursive_256,strong,2500,,0
other,recursive_256,weak,1000,0.4,75
other,recursive_256,weak,2500,,0
other,semantic,strong,1000,0.4266666666666667,75
other,semantic,strong,2500,,0
other,semantic,weak,1000,0.44,75
other,semantic,weak,2500,,0
person,fixed_128,strong,1000,0.5652173913043478,299
person,fixed_128,strong,2500,,0
person,fixed_128,weak,1000,0.5250836120401338,299
person,fixed_128,weak,2500,,0
person,fixed_256,strong,1000,0.5250836120401338,299
person,fixed_256,strong,2500,,0
person,fixed_256,weak,1000,0.49498327759197325,299
person,fixed_256,weak,2500,,0
person,recursive_256,strong,1000,0.5852842809364549,299
person,recursive_256,strong,2500,,0
person,recursive_256,weak,1000,0.5217391304347826,299
person,recursive_256,weak,2500,,0
person,semantic,strong,1000,0.5418060200668896,299
person,semantic,strong,2500,,0
person,semantic,weak,1000,0.5016722408026756,299
person,semantic,weak,2500,,0
place,fixed_128,strong,1000,0.3,90
place,fixed_128,strong,2500,,0
place,fixed_128,weak,1000,0.3333333333333333,90
place,fixed_128,weak,2500,,0
place,fixed_256,strong,1000,0.34444444444444444,90
place,fixed_256,strong,2500,,0
place,fixed_256,weak,1000,0.3,90
place,fixed_256,weak,2500,,0
place,recursive_256,strong,1000,0.34444444444444444,90
place,recursive_256,strong,2500,,0
place,recursive_256,weak,1000,0.3,90
place,recursive_256,weak,2500,,0
place,semantic,strong,1000,0.3,90
place,semantic,strong,2500,,0
place,semantic,weak,1000,0.24444444444444444,90
place,semantic,weak,2500,,0
reason,fixed_128,strong,1000,0.0,6
reason,fixed_128,strong,2500,,0
reason,fixed_128,weak,1000,0.0,6
reason,fixed_128,weak,2500,,0
reason,fixed_256,strong,1000,0.0,6
reason,fixed_256,strong,2500,,0
reason,fixed_256,weak,1000,0.0,6
reason,fixed_256,weak,2500,,0
reason,recursive_256,strong,1000,0.0,6
reason,recursive_256,strong,2500,,0
reason,recursive_256,weak,1000,0.0,6
reason,recursive_256,weak,2500,,0
reason,semantic,strong,1000,0.0,6
reason,semantic,strong,2500,,0
reason,semantic,weak,1000,0.0,6
reason,semantic,weak,2500,,0
