chunker,embedder,budget,n,answer_recall,answer_recall_ci_low,answer_recall_ci_high,page_hit,page_hit_ci_low,page_hit_ci_high,em,em_ci_low,em_ci_high,em_lenient,em_lenient_ci_low,em_lenient_ci_high,f1,f1_ci_low,f1_ci_high,abstained,abstained_ci_low,abstained_ci_high,context_ok_answer_wrong,context_ok_answer_wrong_ci_low,context_ok_answer_wrong_ci_high,n_chunks_used,n_tokens_used,budget_utilisation
fixed_128,strong,1000,800,0.885,0.8625,0.9062,0.9825,0.9725,0.9912,0.3812,0.3488,0.415,0.4462,0.4125,0.48,0.4792,0.4479,0.5107,0.1862,0.1588,0.2137,0.505,0.4713,0.5387,6.92,933.7,0.9337
fixed_256,strong,1000,800,0.8725,0.8488,0.895,0.955,0.94,0.9688,0.3725,0.3387,0.4062,0.4462,0.4113,0.4813,0.4723,0.4405,0.5044,0.2025,0.175,0.2313,0.5012,0.4662,0.5363,3.18,842.1,0.8421
recursive_256,strong,1000,800,0.875,0.8512,0.8975,0.965,0.9513,0.9775,0.3975,0.365,0.4313,0.4675,0.4338,0.5012,0.4919,0.4604,0.5231,0.1825,0.1562,0.21,0.4775,0.4425,0.5125,4.28,890.8,0.8908
semantic,strong,1000,800,0.86,0.835,0.8838,0.9663,0.9537,0.9788,0.3675,0.3337,0.4012,0.4363,0.4025,0.47,0.4671,0.4358,0.4991,0.1812,0.155,0.2087,0.4938,0.4587,0.5288,5.79,899.7,0.8997
fixed_128,weak,1000,800,0.835,0.8087,0.86,0.975,0.9637,0.985,0.3688,0.335,0.4012,0.4288,0.3937,0.4625,0.4545,0.4222,0.4865,0.2362,0.2062,0.265,0.47,0.435,0.505,7.07,934.0,0.934
fixed_256,weak,1000,800,0.7975,0.7688,0.825,0.9363,0.9187,0.9525,0.365,0.3312,0.3987,0.4263,0.3912,0.46,0.4542,0.422,0.4859,0.2375,0.2075,0.2675,0.435,0.4012,0.47,3.29,844.8,0.8448
recursive_256,weak,1000,800,0.82,0.7925,0.8462,0.9563,0.9413,0.97,0.3775,0.3438,0.4113,0.44,0.405,0.4738,0.4617,0.4297,0.494,0.2213,0.1925,0.25,0.445,0.41,0.48,4.39,890.3,0.8903
semantic,weak,1000,800,0.8137,0.7863,0.84,0.95,0.935,0.965,0.3675,0.3337,0.4012,0.4213,0.3875,0.455,0.4561,0.4248,0.488,0.2175,0.19,0.2462,0.4462,0.4113,0.4813,4.39,883.5,0.8835
fixed_128,strong,2500,800,0.93,0.9113,0.9463,0.9925,0.9862,0.9975,,,,,,,,,,,,,,,,18.01,2432.4,0.973
fixed_256,strong,2500,800,0.9363,0.9187,0.9525,0.99,0.9825,0.9962,,,,,,,,,,,,,,,,8.94,2370.8,0.9483
recursive_256,strong,2500,800,0.9387,0.9213,0.955,0.9912,0.985,0.9975,,,,,,,,,,,,,,,,11.41,2391.0,0.9564
semantic,strong,2500,800,0.925,0.9062,0.9425,0.9938,0.9875,0.9988,,,,,,,,,,,,,,,,14.98,2405.2,0.9621
fixed_128,weak,2500,800,0.9125,0.8912,0.9313,0.9912,0.9838,0.9975,,,,,,,,,,,,,,,,18.43,2434.0,0.9736
fixed_256,weak,2500,800,0.9025,0.88,0.9225,0.98,0.97,0.9888,,,,,,,,,,,,,,,,9.17,2372.2,0.9489
recursive_256,weak,2500,800,0.9,0.8788,0.92,0.9888,0.9812,0.995,,,,,,,,,,,,,,,,11.69,2393.7,0.9575
semantic,weak,2500,800,0.8962,0.875,0.9175,0.985,0.9762,0.9925,,,,,,,,,,,,,,,,11.58,2378.7,0.9515
