budget,embedder,metric,a,b,mean_a,mean_b,diff,ci_low,ci_high,p_bootstrap,n,mde,reject_holm
1000,strong,answer_recall,fixed_128,fixed_256,0.885,0.8725,0.0125,-0.0063,0.0312,0.2012,800,0.0262,False
1000,strong,answer_recall,fixed_128,recursive_256,0.885,0.875,0.01,-0.01,0.03,0.3784,800,0.0293,False
1000,strong,answer_recall,fixed_128,semantic,0.885,0.86,0.025,0.005,0.0437,0.0134,800,0.0275,False
1000,strong,answer_recall,fixed_256,recursive_256,0.8725,0.875,-0.0025,-0.0213,0.0163,0.8346,800,0.0271,False
1000,strong,answer_recall,fixed_256,semantic,0.8725,0.86,0.0125,-0.0088,0.0338,0.2752,800,0.0301,False
1000,strong,answer_recall,recursive_256,semantic,0.875,0.86,0.015,-0.005,0.035,0.1636,800,0.0293,False
1000,weak,answer_recall,fixed_128,fixed_256,0.835,0.7975,0.0375,0.0138,0.0613,0.0028,800,0.0345,False
1000,weak,answer_recall,fixed_128,recursive_256,0.835,0.82,0.015,-0.0088,0.0387,0.2142,800,0.0332,False
1000,weak,answer_recall,fixed_128,semantic,0.835,0.8137,0.0213,-0.0025,0.045,0.0804,800,0.0334,False
1000,weak,answer_recall,fixed_256,recursive_256,0.7975,0.82,-0.0225,-0.0438,0.0,0.0536,800,0.032,False
1000,weak,answer_recall,fixed_256,semantic,0.7975,0.8137,-0.0163,-0.0387,0.0063,0.1878,800,0.0326,False
1000,weak,answer_recall,recursive_256,semantic,0.82,0.8137,0.0063,-0.0163,0.0288,0.6276,800,0.0315,False
2500,strong,answer_recall,fixed_128,fixed_256,0.93,0.9363,-0.0063,-0.02,0.0063,0.3834,800,0.0182,False
2500,strong,answer_recall,fixed_128,recursive_256,0.93,0.9387,-0.0088,-0.0238,0.0063,0.2764,800,0.0207,False
2500,strong,answer_recall,fixed_128,semantic,0.93,0.925,0.005,-0.0088,0.0187,0.5326,800,0.0198,False
2500,strong,answer_recall,fixed_256,recursive_256,0.9363,0.9387,-0.0025,-0.015,0.01,0.7928,800,0.0179,False
2500,strong,answer_recall,fixed_256,semantic,0.9363,0.925,0.0112,-0.0037,0.0275,0.1758,800,0.0224,False
2500,strong,answer_recall,recursive_256,semantic,0.9387,0.925,0.0138,-0.0025,0.0288,0.1044,800,0.0224,False
2500,weak,answer_recall,fixed_128,fixed_256,0.9125,0.9025,0.01,-0.0088,0.0288,0.3228,800,0.0267,False
2500,weak,answer_recall,fixed_128,recursive_256,0.9125,0.9,0.0125,-0.0075,0.0325,0.2348,800,0.028,False
2500,weak,answer_recall,fixed_128,semantic,0.9125,0.8962,0.0163,-0.0013,0.035,0.0912,800,0.0259,False
2500,weak,answer_recall,fixed_256,recursive_256,0.9025,0.9,0.0025,-0.0125,0.0175,0.8046,800,0.0222,False
2500,weak,answer_recall,fixed_256,semantic,0.9025,0.8962,0.0063,-0.0125,0.0262,0.5608,800,0.0269,False
2500,weak,answer_recall,recursive_256,semantic,0.9,0.8962,0.0037,-0.015,0.0225,0.7352,800,0.026,False
