question_type,chunker,embedder,budget,mean,count
count,fixed_128,strong,1000,0.8928571428571429,28
count,fixed_128,strong,2500,0.9285714285714286,28
count,fixed_128,weak,1000,0.7857142857142857,28
count,fixed_128,weak,2500,0.9285714285714286,28
count,fixed_256,strong,1000,0.8571428571428571,28
count,fixed_256,strong,2500,0.8928571428571429,28
count,fixed_256,weak,1000,0.75,28
count,fixed_256,weak,2500,0.8928571428571429,28
count,recursive_256,strong,1000,0.8571428571428571,28
count,recursive_256,strong,2500,0.9285714285714286,28
count,recursive_256,weak,1000,0.8571428571428571,28
count,recursive_256,weak,2500,0.8928571428571429,28
count,semantic,strong,1000,0.8571428571428571,28
count,semantic,strong,2500,0.8571428571428571,28
count,semantic,weak,1000,0.75,28
count,semantic,weak,2500,0.8928571428571429,28
date,fixed_128,strong,1000,0.8571428571428571,154
date,fixed_128,strong,2500,0.9415584415584416,154
date,fixed_128,weak,1000,0.7792207792207793,154
date,fixed_128,weak,2500,0.8961038961038961,154
date,fixed_256,strong,1000,0.8636363636363636,154
date,fixed_256,strong,2500,0.948051948051948,154
date,fixed_256,weak,1000,0.7857142857142857,154
date,fixed_256,weak,2500,0.8831168831168831,154
date,recursive_256,strong,1000,0.8701298701298701,154
date,recursive_256,strong,2500,0.9415584415584416,154
date,recursive_256,weak,1000,0.7597402597402597,154
date,recursive_256,weak,2500,0.9090909090909091,154
date,semantic,strong,1000,0.8311688311688312,154
date,semantic,strong,2500,0.935064935064935,154
date,semantic,weak,1000,0.7662337662337663,154
date,semantic,weak,2500,0.8636363636363636,154
entity,fixed_128,strong,1000,0.8851351351351351,148
entity,fixed_128,strong,2500,0.9256756756756757,148
entity,fixed_128,weak,1000,0.8716216216216216,148
entity,fixed_128,weak,2500,0.918918918918919,148
entity,fixed_256,strong,1000,0.8581081081081081,148
entity,fixed_256,strong,2500,0.9391891891891891,148
entity,fixed_256,weak,1000,0.777027027027027,148
entity,fixed_256,weak,2500,0.8783783783783784,148
entity,recursive_256,strong,1000,0.8851351351351351,148
entity,recursive_256,strong,2500,0.9324324324324325,148
entity,recursive_256,weak,1000,0.831081081081081,148
entity,recursive_256,weak,2500,0.8851351351351351,148
entity,semantic,strong,1000,0.8918918918918919,148
entity,semantic,strong,2500,0.9459459459459459,148
entity,semantic,weak,1000,0.8581081081081081,148
entity,semantic,weak,2500,0.9324324324324325,148
other,fixed_128,strong,1000,0.8933333333333333,75
other,fixed_128,strong,2500,0.9466666666666667,75
other,fixed_128,weak,1000,0.88,75
other,fixed_128,weak,2500,0.9333333333333333,75
other,fixed_256,strong,1000,0.88,75
other,fixed_256,strong,2500,0.9466666666666667,75
other,fixed_256,weak,1000,0.84,75
other,fixed_256,weak,2500,0.9066666666666666,75
other,recursive_256,strong,1000,0.8666666666666667,75
other,recursive_256,strong,2500,0.9466666666666667,75
other,recursive_256,weak,1000,0.8666666666666667,75
other,recursive_256,weak,2500,0.9066666666666666,75
other,semantic,strong,1000,0.8933333333333333,75
other,semantic,strong,2500,0.9333333333333333,75
other,semantic,weak,1000,0.88,75
other,semantic,weak,2500,0.9066666666666666,75
person,fixed_128,strong,1000,0.8996655518394648,299
person,fixed_128,strong,2500,0.9230769230769231,299
person,fixed_128,weak,1000,0.842809364548495,299
person,fixed_128,weak,2500,0.9096989966555183,299
person,fixed_256,strong,1000,0.8729096989966555,299
person,fixed_256,strong,2500,0.9264214046822743,299
person,fixed_256,weak,1000,0.8060200668896321,299
person,fixed_256,weak,2500,0.9230769230769231,299
person,recursive_256,strong,1000,0.882943143812709,299
person,recursive_256,strong,2500,0.9431438127090301,299
person,recursive_256,weak,1000,0.8394648829431438,299
person,recursive_256,weak,2500,0.8996655518394648,299
person,semantic,strong,1000,0.8561872909698997,299
person,semantic,strong,2500,0.9096989966555183,299
person,semantic,weak,1000,0.8260869565217391,299
person,semantic,weak,2500,0.8963210702341137,299
place,fixed_128,strong,1000,0.9111111111111111,90
place,fixed_128,strong,2500,0.9555555555555556,90
place,fixed_128,weak,1000,0.8444444444444444,90
place,fixed_128,weak,2500,0.9444444444444444,90
place,fixed_256,strong,1000,0.9222222222222223,90
place,fixed_256,strong,2500,0.9666666666666667,90
place,fixed_256,weak,1000,0.8111111111111111,90
place,fixed_256,weak,2500,0.9222222222222223,90
place,recursive_256,strong,1000,0.8777777777777778,90
place,recursive_256,strong,2500,0.9555555555555556,90
place,recursive_256,weak,1000,0.8111111111111111,90
place,recursive_256,weak,2500,0.9333333333333333,90
place,semantic,strong,1000,0.8777777777777778,90
place,semantic,strong,2500,0.9555555555555556,90
place,semantic,weak,1000,0.7777777777777778,90
place,semantic,weak,2500,0.9,90
reason,fixed_128,strong,1000,0.3333333333333333,6
reason,fixed_128,strong,2500,0.5,6
reason,fixed_128,weak,1000,0.5,6
reason,fixed_128,weak,2500,0.5,6
reason,fixed_256,strong,1000,0.6666666666666666,6
reason,fixed_256,strong,2500,0.6666666666666666,6
reason,fixed_256,weak,1000,0.6666666666666666,6
reason,fixed_256,weak,2500,0.6666666666666666,6
reason,recursive_256,strong,1000,0.5,6
reason,recursive_256,strong,2500,0.5,6
reason,recursive_256,weak,1000,0.5,6
reason,recursive_256,weak,2500,0.5,6
reason,semantic,strong,1000,0.3333333333333333,6
reason,semantic,strong,2500,0.6666666666666666,6
reason,semantic,weak,1000,0.3333333333333333,6
reason,semantic,weak,2500,0.6666666666666666,6
